type,topic,spanish,english,answer_or_form,explanation_or_example,status
quiz-gustar,gustar,___ la música en directo.,I like live music.,me gusta,"Use “me” as the indirect object pronoun. La música is singular (or an infinitive activity), so the verb is “gusta”.",ok
quiz-gustar,gustar,A Pedro y Ana ___ las rutas en bicicleta.,Pedro and Ana like cycling routes.,les gustan,"Use “les” as the indirect object pronoun. Las rutas is plural, so the verb is “gustan”.",ok
quiz-gustar,gustar,___ aprender idiomas.,We like learning languages.,nos gusta,"Use “nos” as the indirect object pronoun. The activity aprender is singular (or an infinitive activity), so the verb is “gusta”.",ok
quiz-gustar,gustar,¿ ___ el nuevo restaurante?,Do they like the new restaurant?,les gusta,"Use “les” as the indirect object pronoun. El restaurante is singular (or an infinitive activity), so the verb is “gusta”.",ok
quiz-gustar,gustar,No ___ estas botas negras.,You do not like these black boots.,te gustan,"Use “te” as the indirect object pronoun. Estas botas is plural, so the verb is “gustan”.",ok
quiz-gustar,gustar,A usted ___ leer antes de dormir.,You like reading before going to sleep.,le gusta,"Use “le” as the indirect object pronoun. The activity leer is singular (or an infinitive activity), so the verb is “gusta”.",ok
quiz-gustar,gustar,___ los domingos tranquilos.,I like quiet Sundays.,me gustan,"Use “me” as the indirect object pronoun. Los domingos is plural, so the verb is “gustan”.",ok
quiz-gustar,gustar,A Carlos ___ la cerveza checa.,Carlos likes Czech beer.,le gusta,"Use “le” as the indirect object pronoun. La cerveza is singular (or an infinitive activity), so the verb is “gusta”.",ok
quiz-gustar,gustar,___ las excursiones largas.,We like long excursions.,nos gustan,"Use “nos” as the indirect object pronoun. Las excursiones is plural, so the verb is “gustan”.",ok
quiz-gustar,gustar,¿ ___ trabajar desde casa?,Do you like working from home?,te gusta,"Use “te” as the indirect object pronoun. The activity trabajar is singular (or an infinitive activity), so the verb is “gusta”.",ok
quiz-gustar,gustar,A ellas ___ este barrio.,They like this neighbourhood.,les gusta,"Use “les” as the indirect object pronoun. Este barrio is singular (or an infinitive activity), so the verb is “gusta”.",ok
quiz-gustar,gustar,No ___ los vuelos nocturnos.,I do not like night flights.,me gustan,"Use “me” as the indirect object pronoun. Los vuelos is plural, so the verb is “gustan”.",ok
quiz-gustar,gustar,A Pablo ___ nadar en el mar.,Pablo likes swimming in the sea.,le gusta,"Use “le” as the indirect object pronoun. The activity nadar is singular (or an infinitive activity), so the verb is “gusta”.",ok
quiz-gustar,gustar,¿A ustedes ___ la paella?,Do you all like paella?,les gusta,"Use “les” as the indirect object pronoun. La paella is singular (or an infinitive activity), so the verb is “gusta”.",ok
quiz-gustar,gustar,___ estas fotografías.,They like these photographs.,les gustan,"Use “les” as the indirect object pronoun. Estas fotografías is plural, so the verb is “gustan”.",ok
quiz-gustar,gustar,A nosotros ___ salir los viernes.,We like going out on Fridays.,nos gusta,"Use “nos” as the indirect object pronoun. The activity salir is singular (or an infinitive activity), so the verb is “gusta”.",ok
quiz-gustar,gustar,___ el clima de España.,You like Spain's climate.,te gusta,"Use “te” as the indirect object pronoun. El clima is singular (or an infinitive activity), so the verb is “gusta”.",ok
quiz-gustar,gustar,A Sofía ___ los libros de historia.,Sofía likes history books.,le gustan,"Use “le” as the indirect object pronoun. Los libros is plural, so the verb is “gustan”.",ok
quiz-gustar,gustar,___ conducir por carreteras tranquilas.,I like driving on quiet roads.,me gusta,"Use “me” as the indirect object pronoun. The activity conducir is singular (or an infinitive activity), so the verb is “gusta”.",ok
quiz-gustar,gustar,¿ ___ las clases de español?,Does he or she like Spanish classes?,le gustan,"Use “le” as the indirect object pronoun. Las clases is plural, so the verb is “gustan”.",ok
quiz-gustar,encantar,___ esta banda.,I love this band.,me encanta,"Use “me” as the indirect object pronoun. Esta banda is singular (or an infinitive activity), so the verb is “encanta”.",ok
quiz-gustar,encantar,A Elena ___ los mercados locales.,Elena loves local markets.,le encantan,"Use “le” as the indirect object pronoun. Los mercados is plural, so the verb is “encantan”.",ok
quiz-gustar,encantar,___ viajar sin prisa.,We love travelling without rushing.,nos encanta,"Use “nos” as the indirect object pronoun. The activity viajar is singular (or an infinitive activity), so the verb is “encanta”.",ok
quiz-gustar,encantar,¿ ___ estas tapas?,Do you love these tapas?,te encantan,"Use “te” as the indirect object pronoun. Estas tapas is plural, so the verb is “encantan”.",ok
quiz-gustar,encantar,A los niños ___ el chocolate.,The children love chocolate.,les encanta,"Use “les” as the indirect object pronoun. El chocolate is singular (or an infinitive activity), so the verb is “encanta”.",ok
quiz-gustar,encantar,___ bailar flamenco.,He or she loves dancing flamenco.,le encanta,"Use “le” as the indirect object pronoun. The activity bailar is singular (or an infinitive activity), so the verb is “encanta”.",ok
quiz-gustar,encantar,A ustedes ___ las playas del norte.,You all love the northern beaches.,les encantan,"Use “les” as the indirect object pronoun. Las playas is plural, so the verb is “encantan”.",ok
quiz-gustar,encantar,A mí ___ la guitarra eléctrica.,I love the electric guitar.,me encanta,"Use “me” as the indirect object pronoun. La guitarra is singular (or an infinitive activity), so the verb is “encanta”.",ok
quiz-gustar,encantar,___ hacer senderismo.,They love hiking.,les encanta,"Use “les” as the indirect object pronoun. The activity hacer is singular (or an infinitive activity), so the verb is “encanta”.",ok
quiz-gustar,encantar,¿ ___ los pueblos blancos?,Do we love the white villages?,nos encantan,"Use “nos” as the indirect object pronoun. Los pueblos is plural, so the verb is “encantan”.",ok
quiz-gustar,encantar,A Julia ___ esta novela.,Julia loves this novel.,le encanta,"Use “le” as the indirect object pronoun. Esta novela is singular (or an infinitive activity), so the verb is “encanta”.",ok
quiz-gustar,encantar,___ los desayunos largos.,You love long breakfasts.,te encantan,"Use “te” as the indirect object pronoun. Los desayunos is plural, so the verb is “encantan”.",ok
quiz-gustar,encantar,A mis amigos ___ cocinar juntos.,My friends love cooking together.,les encanta,"Use “les” as the indirect object pronoun. The activity cocinar is singular (or an infinitive activity), so the verb is “encanta”.",ok
quiz-gustar,encantar,___ las montañas.,I love the mountains.,me encantan,"Use “me” as the indirect object pronoun. Las montañas is plural, so the verb is “encantan”.",ok
quiz-gustar,encantar,A usted ___ el arte moderno.,You love modern art.,le encanta,"Use “le” as the indirect object pronoun. El arte is singular (or an infinitive activity), so the verb is “encanta”.",ok
quiz-gustar,encantar,___ escuchar música en vivo.,We love listening to live music.,nos encanta,"Use “nos” as the indirect object pronoun. The activity escuchar is singular (or an infinitive activity), so the verb is “encanta”.",ok
quiz-gustar,encantar,¿ ___ estas vistas?,Do they love these views?,les encantan,"Use “les” as the indirect object pronoun. Estas vistas is plural, so the verb is “encantan”.",ok
quiz-gustar,encantar,A Roberto ___ la arquitectura antigua.,Roberto loves old architecture.,le encanta,"Use “le” as the indirect object pronoun. La arquitectura is singular (or an infinitive activity), so the verb is “encanta”.",ok
quiz-gustar,encantar,A ustedes ___ los viajes en bicicleta.,You all love cycling trips.,les encantan,"Use “les” as the indirect object pronoun. Los viajes is plural, so the verb is “encantan”.",ok
quiz-gustar,encantar,___ aprender palabras nuevas.,You love learning new words.,te encanta,"Use “te” as the indirect object pronoun. The activity aprender is singular (or an infinitive activity), so the verb is “encanta”.",ok
quiz-gustar,interesar,___ la historia de España.,I am interested in Spanish history.,me interesa,"Use “me” as the indirect object pronoun. La historia is singular (or an infinitive activity), so the verb is “interesa”.",ok
quiz-gustar,interesar,A Daniel ___ los idiomas.,Daniel is interested in languages.,le interesan,"Use “le” as the indirect object pronoun. Los idiomas is plural, so the verb is “interesan”.",ok
quiz-gustar,interesar,___ aprender sobre otras culturas.,We are interested in learning about other cultures.,nos interesa,"Use “nos” as the indirect object pronoun. The activity aprender is singular (or an infinitive activity), so the verb is “interesa”.",ok
quiz-gustar,interesar,¿ ___ estas noticias?,Are you interested in this news?,te interesan,"Use “te” as the indirect object pronoun. Estas noticias is plural, so the verb is “interesan”.",ok
quiz-gustar,interesar,A ellos ___ el ciclismo.,They are interested in cycling.,les interesa,"Use “les” as the indirect object pronoun. El ciclismo is singular (or an infinitive activity), so the verb is “interesa”.",ok
quiz-gustar,interesar,No ___ hablar de política.,He or she is not interested in talking about politics.,le interesa,"Use “le” as the indirect object pronoun. The activity hablar is singular (or an infinitive activity), so the verb is “interesa”.",ok
quiz-gustar,interesar,A ustedes ___ los museos pequeños.,You all are interested in small museums.,les interesan,"Use “les” as the indirect object pronoun. Los museos is plural, so the verb is “interesan”.",ok
quiz-gustar,interesar,A mí ___ la tecnología.,I am interested in technology.,me interesa,"Use “me” as the indirect object pronoun. La tecnología is singular (or an infinitive activity), so the verb is “interesa”.",ok
quiz-gustar,interesar,___ conocer gente nueva.,They are interested in meeting new people.,les interesa,"Use “les” as the indirect object pronoun. The activity conocer is singular (or an infinitive activity), so the verb is “interesa”.",ok
quiz-gustar,interesar,¿ ___ estos cursos?,Are we interested in these courses?,nos interesan,"Use “nos” as the indirect object pronoun. Estos cursos is plural, so the verb is “interesan”.",ok
quiz-gustar,interesar,A Paula ___ la fotografía.,Paula is interested in photography.,le interesa,"Use “le” as the indirect object pronoun. La fotografía is singular (or an infinitive activity), so the verb is “interesa”.",ok
quiz-gustar,interesar,___ los documentales.,You are interested in documentaries.,te interesan,"Use “te” as the indirect object pronoun. Los documentales is plural, so the verb is “interesan”.",ok
quiz-gustar,interesar,A mis compañeros ___ mejorar su español.,My colleagues are interested in improving their Spanish.,les interesa,"Use “les” as the indirect object pronoun. The activity mejorar is singular (or an infinitive activity), so the verb is “interesa”.",ok
quiz-gustar,interesar,___ las rutas históricas.,I am interested in historical routes.,me interesan,"Use “me” as the indirect object pronoun. Las rutas is plural, so the verb is “interesan”.",ok
quiz-gustar,interesar,A usted ___ el proyecto nuevo.,You are interested in the new project.,le interesa,"Use “le” as the indirect object pronoun. El proyecto is singular (or an infinitive activity), so the verb is “interesa”.",ok
quiz-gustar,interesar,___ entender la gramática.,We are interested in understanding grammar.,nos interesa,"Use “nos” as the indirect object pronoun. The activity entender is singular (or an infinitive activity), so the verb is “interesa”.",ok
quiz-gustar,interesar,¿ ___ estas propuestas?,Are they interested in these proposals?,les interesan,"Use “les” as the indirect object pronoun. Estas propuestas is plural, so the verb is “interesan”.",ok
quiz-gustar,interesar,A Tomás ___ la economía.,Tomás is interested in economics.,le interesa,"Use “le” as the indirect object pronoun. La economía is singular (or an infinitive activity), so the verb is “interesa”.",ok
quiz-gustar,interesar,A ustedes ___ los deportes de montaña.,You all are interested in mountain sports.,les interesan,"Use “les” as the indirect object pronoun. Los deportes is plural, so the verb is “interesan”.",ok
quiz-gustar,interesar,___ leer en español.,You are interested in reading in Spanish.,te interesa,"Use “te” as the indirect object pronoun. The activity leer is singular (or an infinitive activity), so the verb is “interesa”.",ok
quiz-gustar,molestar,___ el ruido de la calle.,The street noise bothers me.,me molesta,"Use “me” as the indirect object pronoun. El ruido is singular (or an infinitive activity), so the verb is “molesta”.",ok
quiz-gustar,molestar,A Sara ___ las luces fuertes.,Bright lights bother Sara.,le molestan,"Use “le” as the indirect object pronoun. Las luces is plural, so the verb is “molestan”.",ok
quiz-gustar,molestar,___ esperar mucho tiempo.,Waiting a long time bothers us.,nos molesta,"Use “nos” as the indirect object pronoun. The activity esperar is singular (or an infinitive activity), so the verb is “molesta”.",ok
quiz-gustar,molestar,¿ ___ estos comentarios?,Do these comments bother you?,te molestan,"Use “te” as the indirect object pronoun. Estos comentarios is plural, so the verb is “molestan”.",ok
quiz-gustar,molestar,A ellos ___ el humo.,Smoke bothers them.,les molesta,"Use “les” as the indirect object pronoun. El humo is singular (or an infinitive activity), so the verb is “molesta”.",ok
quiz-gustar,molestar,No ___ trabajar los sábados.,Working on Saturdays does not bother him or her.,le molesta,"Use “le” as the indirect object pronoun. The activity trabajar is singular (or an infinitive activity), so the verb is “molesta”.",ok
quiz-gustar,molestar,A ustedes ___ los precios altos.,High prices bother you all.,les molestan,"Use “les” as the indirect object pronoun. Los precios is plural, so the verb is “molestan”.",ok
quiz-gustar,molestar,A mí ___ la música demasiado alta.,Music that is too loud bothers me.,me molesta,"Use “me” as the indirect object pronoun. La música is singular (or an infinitive activity), so the verb is “molesta”.",ok
quiz-gustar,molestar,___ levantarse tan temprano.,Getting up so early bothers them.,les molesta,"Use “les” as the indirect object pronoun. The activity levantarse is singular (or an infinitive activity), so the verb is “molesta”.",ok
quiz-gustar,molestar,¿ ___ estas interrupciones?,Do these interruptions bother us?,nos molestan,"Use “nos” as the indirect object pronoun. Estas interrupciones is plural, so the verb is “molestan”.",ok
quiz-gustar,molestar,A David ___ el frío.,The cold bothers David.,le molesta,"Use “le” as the indirect object pronoun. El frío is singular (or an infinitive activity), so the verb is “molesta”.",ok
quiz-gustar,molestar,___ los vuelos con escalas.,Flights with connections bother you.,te molestan,"Use “te” as the indirect object pronoun. Los vuelos is plural, so the verb is “molestan”.",ok
quiz-gustar,molestar,A mis vecinos ___ oír al perro por la noche.,Hearing the dog at night bothers my neighbours.,les molesta,"Use “les” as the indirect object pronoun. The activity oír is singular (or an infinitive activity), so the verb is “molesta”.",ok
quiz-gustar,molestar,___ las habitaciones oscuras.,Dark rooms bother me.,me molestan,"Use “me” as the indirect object pronoun. Las habitaciones is plural, so the verb is “molestan”.",ok
quiz-gustar,molestar,A usted ___ este olor.,Does this smell bother you?,le molesta,"Use “le” as the indirect object pronoun. Este olor is singular (or an infinitive activity), so the verb is “molesta”.",ok
quiz-gustar,importar,___ la calidad del servicio.,The quality of the service matters to me.,me importa,"Use “me” as the indirect object pronoun. La calidad is singular (or an infinitive activity), so the verb is “importa”.",ok
quiz-gustar,importar,A Luis ___ los pequeños detalles.,Small details matter to Luis.,le importan,"Use “le” as the indirect object pronoun. Los detalles is plural, so the verb is “importan”.",ok
quiz-gustar,importar,___ llegar a tiempo.,Arriving on time matters to us.,nos importa,"Use “nos” as the indirect object pronoun. The activity llegar is singular (or an infinitive activity), so the verb is “importa”.",ok
quiz-gustar,importar,¿ ___ estas diferencias?,Do these differences matter to you?,te importan,"Use “te” as the indirect object pronoun. Estas diferencias is plural, so the verb is “importan”.",ok
quiz-gustar,importar,A ellos ___ el resultado final.,The final result matters to them.,les importa,"Use “les” as the indirect object pronoun. El resultado is singular (or an infinitive activity), so the verb is “importa”.",ok
quiz-gustar,importar,No ___ trabajar solo.,Working alone does not matter to him or her.,le importa,"Use “le” as the indirect object pronoun. The activity trabajar is singular (or an infinitive activity), so the verb is “importa”.",ok
quiz-gustar,importar,A ustedes ___ los horarios flexibles.,Flexible schedules matter to you all.,les importan,"Use “les” as the indirect object pronoun. Los horarios is plural, so the verb is “importan”.",ok
quiz-gustar,importar,A mí ___ la opinión de mi familia.,My family's opinion matters to me.,me importa,"Use “me” as the indirect object pronoun. La opinión is singular (or an infinitive activity), so the verb is “importa”.",ok
quiz-gustar,importar,___ mantenerse activos.,Staying active matters to them.,les importa,"Use “les” as the indirect object pronoun. The activity mantenerse is singular (or an infinitive activity), so the verb is “importa”.",ok
quiz-gustar,importar,¿ ___ estos cambios?,Do these changes matter to us?,nos importan,"Use “nos” as the indirect object pronoun. Estos cambios is plural, so the verb is “importan”.",ok
quiz-gustar,importar,A Eva ___ el medio ambiente.,The environment matters to Eva.,le importa,"Use “le” as the indirect object pronoun. El medio ambiente is singular (or an infinitive activity), so the verb is “importa”.",ok
quiz-gustar,importar,___ las condiciones del viaje.,The travel conditions matter to you.,te importan,"Use “te” as the indirect object pronoun. Las condiciones is plural, so the verb is “importan”.",ok
quiz-gustar,importar,A mis colegas ___ terminar bien el proyecto.,Finishing the project well matters to my colleagues.,les importa,"Use “les” as the indirect object pronoun. The activity terminar is singular (or an infinitive activity), so the verb is “importa”.",ok
quiz-gustar,importar,___ las respuestas claras.,Clear answers matter to me.,me importan,"Use “me” as the indirect object pronoun. Las respuestas is plural, so the verb is “importan”.",ok
quiz-gustar,importar,A usted ___ esta decisión.,Does this decision matter to you?,le importa,"Use “le” as the indirect object pronoun. Esta decisión is singular (or an infinitive activity), so the verb is “importa”.",ok
quiz-gustar,faltar,___ un billete para Madrid.,I am missing a ticket to Madrid.,me falta,"Use “me” as the indirect object pronoun. Un billete is singular (or an infinitive activity), so the verb is “falta”.",ok
quiz-gustar,faltar,A Clara ___ dos documentos.,Clara is missing two documents.,le faltan,"Use “le” as the indirect object pronoun. Dos documentos is plural, so the verb is “faltan”.",ok
quiz-gustar,faltar,___ terminar el último ejercicio.,We still need to finish the last exercise.,nos falta,"Use “nos” as the indirect object pronoun. The activity terminar is singular (or an infinitive activity), so the verb is “falta”.",ok
quiz-gustar,faltar,¿ ___ estas páginas?,Are you missing these pages?,te faltan,"Use “te” as the indirect object pronoun. Estas páginas is plural, so the verb is “faltan”.",ok
quiz-gustar,faltar,A ellos ___ un poco de tiempo.,They are short of time.,les falta,"Use “les” as the indirect object pronoun. Un poco de tiempo is singular (or an infinitive activity), so the verb is “falta”.",ok
quiz-gustar,faltar,___ practicar más.,He or she needs to practise more.,le falta,"Use “le” as the indirect object pronoun. The activity practicar is singular (or an infinitive activity), so the verb is “falta”.",ok
quiz-gustar,faltar,A ustedes ___ las entradas para el concierto.,You all are missing the concert tickets.,les faltan,"Use “les” as the indirect object pronoun. Las entradas is plural, so the verb is “faltan”.",ok
quiz-gustar,faltar,A mí ___ una buena mochila.,I need a good backpack.,me falta,"Use “me” as the indirect object pronoun. Una mochila is singular (or an infinitive activity), so the verb is “falta”.",ok
quiz-gustar,faltar,___ visitar dos ciudades.,They still need to visit two cities.,les falta,"Use “les” as the indirect object pronoun. The activity visitar is singular (or an infinitive activity), so the verb is “falta”.",ok
quiz-gustar,faltar,¿ ___ algunas sillas?,Are we missing some chairs?,nos faltan,"Use “nos” as the indirect object pronoun. Algunas sillas is plural, so the verb is “faltan”.",ok
quiz-gustar,quedar,___ una semana de vacaciones.,I have one week of holiday left.,me queda,"Use “me” as the indirect object pronoun. Una semana is singular (or an infinitive activity), so the verb is “queda”.",ok
quiz-gustar,quedar,A Raúl ___ tres preguntas.,Raúl has three questions left.,le quedan,"Use “le” as the indirect object pronoun. Tres preguntas is plural, so the verb is “quedan”.",ok
quiz-gustar,quedar,___ reservar el hotel.,We still need to book the hotel.,nos queda,"Use “nos” as the indirect object pronoun. The activity reservar is singular (or an infinitive activity), so the verb is “queda”.",ok
quiz-gustar,quedar,¿ ___ bien estos pantalones?,Do these trousers fit you well?,te quedan,"Use “te” as the indirect object pronoun. Estos pantalones is plural, so the verb is “quedan”.",ok
quiz-gustar,quedar,A ellos ___ poco dinero.,They have little money left.,les queda,"Use “les” as the indirect object pronoun. Poco dinero is singular (or an infinitive activity), so the verb is “queda”.",ok
quiz-gustar,quedar,___ preparar la cena.,He or she still needs to prepare dinner.,le queda,"Use “le” as the indirect object pronoun. The activity preparar is singular (or an infinitive activity), so the verb is “queda”.",ok
quiz-gustar,quedar,A ustedes ___ dos días libres.,You all have two free days left.,les quedan,"Use “les” as the indirect object pronoun. Dos días is plural, so the verb is “quedan”.",ok
quiz-gustar,quedar,A mí ___ bien esta camisa.,This shirt fits me well.,me queda,"Use “me” as the indirect object pronoun. Esta camisa is singular (or an infinitive activity), so the verb is “queda”.",ok
quiz-gustar,quedar,___ recorrer diez kilómetros.,They still have ten kilometres to cover.,les queda,"Use “les” as the indirect object pronoun. The activity recorrer is singular (or an infinitive activity), so the verb is “queda”.",ok
quiz-gustar,quedar,¿ ___ suficientes botellas de agua?,Do we have enough bottles of water left?,nos quedan,"Use “nos” as the indirect object pronoun. Suficientes botellas is plural, so the verb is “quedan”.",ok
quiz-gustar,doler,___ la espalda.,My back hurts.,me duele,"Use “me” as the indirect object pronoun. La espalda is singular (or an infinitive activity), so the verb is “duele”.",ok
quiz-gustar,doler,A Carmen ___ las rodillas.,Carmen's knees hurt.,le duelen,"Use “le” as the indirect object pronoun. Las rodillas is plural, so the verb is “duelen”.",ok
quiz-gustar,doler,___ caminar con estas botas.,Walking in these boots hurts us.,nos duele,"Use “nos” as the indirect object pronoun. The activity caminar is singular (or an infinitive activity), so the verb is “duele”.",ok
quiz-gustar,doler,¿ ___ los hombros?,Do your shoulders hurt?,te duelen,"Use “te” as the indirect object pronoun. Los hombros is plural, so the verb is “duelen”.",ok
quiz-gustar,doler,A ellos ___ la cabeza.,Their heads hurt.,les duele,"Use “les” as the indirect object pronoun. La cabeza is singular (or an infinitive activity), so the verb is “duele”.",ok
quiz-gustar,doler,___ subir escaleras.,Climbing stairs hurts him or her.,le duele,"Use “le” as the indirect object pronoun. The activity subir is singular (or an infinitive activity), so the verb is “duele”.",ok
quiz-gustar,doler,A ustedes ___ los pies.,Your feet hurt.,les duelen,"Use “les” as the indirect object pronoun. Los pies is plural, so the verb is “duelen”.",ok
quiz-gustar,doler,A mí ___ el brazo derecho.,My right arm hurts.,me duele,"Use “me” as the indirect object pronoun. El brazo is singular (or an infinitive activity), so the verb is “duele”.",ok
quiz-gustar,doler,___ hacer este movimiento.,Making this movement hurts them.,les duele,"Use “les” as the indirect object pronoun. The activity hacer is singular (or an infinitive activity), so the verb is “duele”.",ok
quiz-gustar,doler,¿ ___ las piernas después de correr?,Do our legs hurt after running?,nos duelen,"Use “nos” as the indirect object pronoun. Las piernas is plural, so the verb is “duelen”.",ok
quiz-gustar,doler,A Andrés ___ la garganta.,Andrés's throat hurts.,le duele,"Use “le” as the indirect object pronoun. La garganta is singular (or an infinitive activity), so the verb is “duele”.",ok
quiz-gustar,doler,___ los dedos.,Your fingers hurt.,te duelen,"Use “te” as the indirect object pronoun. Los dedos is plural, so the verb is “duelen”.",ok
quiz-gustar,doler,A mis amigos ___ dormir en el suelo.,Sleeping on the floor hurts my friends.,les duele,"Use “les” as the indirect object pronoun. The activity dormir is singular (or an infinitive activity), so the verb is “duele”.",ok
quiz-gustar,doler,___ las muñecas.,My wrists hurt.,me duelen,"Use “me” as the indirect object pronoun. Las muñecas is plural, so the verb is “duelen”.",ok
quiz-gustar,doler,A usted ___ el cuello.,Does your neck hurt?,le duele,"Use “le” as the indirect object pronoun. El cuello is singular (or an infinitive activity), so the verb is “duele”.",ok
quiz-gustar,parecer,___ interesante esta idea.,This idea seems interesting to me.,me parece,"Use “me” as the indirect object pronoun. Esta idea is singular (or an infinitive activity), so the verb is “parece”.",ok
quiz-gustar,parecer,A Laura ___ caros estos hoteles.,These hotels seem expensive to Laura.,le parecen,"Use “le” as the indirect object pronoun. Estos hoteles is plural, so the verb is “parecen”.",ok
quiz-gustar,parecer,___ útil practicar cada día.,Practising every day seems useful to us.,nos parece,"Use “nos” as the indirect object pronoun. The activity practicar is singular (or an infinitive activity), so the verb is “parece”.",ok
quiz-gustar,parecer,¿ ___ claras estas instrucciones?,Do these instructions seem clear to you?,te parecen,"Use “te” as the indirect object pronoun. Estas instrucciones is plural, so the verb is “parecen”.",ok
quiz-gustar,parecer,A ellos ___ buena la propuesta.,The proposal seems good to them.,les parece,"Use “les” as the indirect object pronoun. La propuesta is singular (or an infinitive activity), so the verb is “parece”.",ok
quiz-gustar,parecer,___ difícil conducir de noche.,Driving at night seems difficult to him or her.,le parece,"Use “le” as the indirect object pronoun. The activity conducir is singular (or an infinitive activity), so the verb is “parece”.",ok
quiz-gustar,parecer,A ustedes ___ largos los ejercicios.,The exercises seem long to you all.,les parecen,"Use “les” as the indirect object pronoun. Los ejercicios is plural, so the verb is “parecen”.",ok
quiz-gustar,parecer,A mí ___ perfecta esta solución.,This solution seems perfect to me.,me parece,"Use “me” as the indirect object pronoun. Esta solución is singular (or an infinitive activity), so the verb is “parece”.",ok
quiz-gustar,parecer,___ mejor salir temprano.,Leaving early seems better to them.,les parece,"Use “les” as the indirect object pronoun. The activity salir is singular (or an infinitive activity), so the verb is “parece”.",ok
quiz-gustar,parecer,¿ ___ correctas estas respuestas?,Do these answers seem correct to us?,nos parecen,"Use “nos” as the indirect object pronoun. Estas respuestas is plural, so the verb is “parecen”.",ok
quiz-ser-estar,ser / estar,Yo ___  de México.,I am from Mexico.,soy,Origin is expressed with ser.,ok
quiz-ser-estar,ser / estar,Marta ___  médica.,Marta is a doctor.,es,Professions use ser.,ok
quiz-ser-estar,ser / estar,Nosotros ___  estudiantes de español.,We are Spanish students.,somos,Identity and roles use ser.,ok
quiz-ser-estar,ser / estar,La mesa ___  de madera.,The table is made of wood.,es,Material is expressed with ser.,ok
quiz-ser-estar,ser / estar,Hoy ___  lunes.,Today is Monday.,es,Dates and days use ser.,ok
quiz-ser-estar,ser / estar,Las llaves ___  de Ana.,The keys belong to Ana.,son,Possession uses ser de.,ok
quiz-ser-estar,ser / estar,El concierto ___  en el teatro.,The concert is at the theatre.,es,An event location uses ser.,ok
quiz-ser-estar,ser / estar,La ventana ___  grande y luminosa.,The window is large and bright.,es,A defining description uses ser.,ok
quiz-ser-estar,ser / estar,Yo ___  en casa ahora.,I am at home now.,estoy,Physical location uses estar.,ok
quiz-ser-estar,ser / estar,Las mochilas ___  debajo de la mesa.,The backpacks are under the table.,están,Physical location uses estar.,ok
quiz-ser-estar,ser / estar,¿Cómo ___  tú esta mañana?,How are you this morning?,estás,A current state uses estar.,ok
